NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
Microsoft,Software,71.8,1,1,79.45,74.92,87.08,55.56,72.76,32.38,89.16
Intel,Semiconductors & Equipment,71.64,2,1,94.12,76.52,79.41,50.08,70.27,49.24,78.63
Alphabet,Internet,67.74,3,1,59.73,70.69,57.47,74.11,48.1,54.53,85.51
Texas Instruments,Semiconductors & Equipment,67.07,4,2,88.51,50.64,75.29,43.97,57.85,52.84,88.03
International Business Machines,Computer Services,66.76,5,1,88.85,63.8,79.71,65.22,59.33,44.66,68.79
Nvidia,Semiconductors & Equipment,66.13,6,3,76.62,56.91,56.28,48.79,62.15,44.66,95.75
VMware,Software,66.08,7,2,59.99,67.42,76.86,47.81,42.34,52.84,86.77
Procter & Gamble,Personal Products,65.86,8,1,53.55,62.99,72.56,49.33,60.28,52.84,87.39
Adobe Systems,Software,65.24,9,3,68.44,69.05,79.87,49.38,44.89,36.24,85.07
Cisco Systems,Technology Hardware,65.23,10,1,76.82,62.38,57.26,48.52,68.64,52.84,80.81
Humana,Health Care Providers,64.82,11,1,63.28,69.05,57.17,52.64,66.47,67.72,70.21
Accenture,Commercial Support Services,64.53,12,1,71.51,54.07,83.11,51.89,51.34,52.84,76.75
AT&T,Telecommunications,64.43,13,1,69.79,61.51,64.34,71.12,63.79,52.84,67.96
General Motors,Automobiles & Parts,64.39,14,1,79.01,66.66,64.27,59.68,64.7,23.49,82.74
General Mills,Food,64.18,15,1,86.96,62.02,74.19,44.41,70.87,40.19,72.29
Apple,Technology Hardware,64.17,16,2,52.68,74.91,82.45,60.57,59.71,38.6,70.23
Kimberly Clark,Personal Products,63.57,17,2,90.23,53.07,60.31,44.77,60.59,43.48,83.28
ResMed,Health Care Equipment & Services,63.48,18,1,55.58,58.52,73.53,47.22,59.04,64.0,74.4
Biogen,Pharmaceuticals & Biotech,63.41,19,1,69.06,52.66,86.18,45.18,60.74,56.56,70.72
United Parcel Service,Transportation,63.24,20,1,65.58,67.42,73.48,75.42,69.81,52.84,51.84
Keysight Technologies,Industrial Goods,63.01,21,1,67.78,58.52,77.11,45.87,49.59,52.84,75.68
S&P Global,Consumer & Diversified Finance,62.9,22,1,69.68,61.26,79.03,48.28,69.24,52.84,63.77
Colgate Palmolive,Personal Products,62.66,23,3,75.21,60.54,62.02,44.78,70.82,49.12,73.14
Prudential Financial,Insurance,62.65,24,1,71.73,61.96,77.06,46.64,49.41,52.84,69.72
Clorox,Personal Products,62.34,25,4,77.62,63.57,73.9,45.06,71.78,40.57,67.05
3M Co,Industrial Goods,62.23,26,2,80.59,65.62,60.79,48.6,57.94,36.47,75.88
UnitedHealth Group,Health Care Providers,61.97,27,2,50.36,61.56,55.01,73.22,61.81,67.72,62.05
Agilent Technologies,Industrial Goods,61.95,28,3,71.12,53.47,70.53,46.28,57.37,52.84,74.15
salesforce.com,Software,61.91,29,4,74.53,42.95,56.39,50.53,50.87,52.84,87.46
Amazon,Retail,61.74,30,1,46.02,76.52,51.78,93.25,47.09,39.99,65.22
Exelon Corp,Utilities,61.65,31,1,69.05,47.4,60.18,48.62,60.79,56.56,79.08
Varian Medical Systems,Health Care Equipment & Services,61.63,32,2,52.4,76.52,56.25,44.25,59.99,64.0,65.51
