,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,isUSMarketOpen,lastTradeTime,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,previousVolume,primaryExchange,symbol,volume,week52High,week52Low,ytdChange
0,24171117,close,0.35,0.00244,143.72,1572638400595,Microsoft Corp.,143.72,1572638400306,0.02,0.00014,143.74,1572652769830,144.42,,,,,,,,,,False,1572638400306,143.72,Close,"November 1, 2019",1572638400595,33010976,142.965,1096412573200,144.31,1572615000292,26.81,143.37,24605135,NASDAQ,MSFT,33010976,145.67,93.96,0.423722
1,19242247,close,-0.02,-0.00035,56.51,1572638400001,Intel Corp.,56.51,1572639300004,-0.06,-0.00106,56.45,1572652771749,56.647,,,,,,,,,,False,1572638400519,56.51,Close,"November 1, 2019",1572638400001,17854761,55.62,245818500000,55.94,1572615000665,13.07,56.53,19249679,NASDAQ,INTC,17854761,59.59,42.86,0.199947
2,1320567,close,13.63,0.01082,1273.74,1572638400758,"Alphabet, Inc.",1273.74,1572638400758,-1.74,-0.00137,1272,1572652796356,1274.62,,,,,,,,,,False,1572638400758,1273.74,Close,"November 1, 2019",1572638400758,1664431,1260.5,878528135762,1265,1572615000858,27.11,1260.11,1455651,NASDAQ,GOOG,1664431,1299.31,970.11,0.228719
3,4904485,close,0.05,0.00042,118.04,1572638400787,Texas Instruments Incorporated,118.04,1572638400786,-0.04,-0.00034,118,1572651318691,119.59,,,,,,,,,,False,1572638400786,118.04,Close,"November 1, 2019",1572638400787,4332353,117.87,110340841000,119.19,1572615000712,21.56,117.99,4778447,NASDAQ,TXN,4332353,132.2,87.7,0.250182
4,3742705,close,1.8,0.01346,135.53,1572638441031,International Business Machines Corp.,135.53,1572639000003,0.25,0.00184,135.78,1572650216477,135.56,,,,,,,,,,False,1572638441006,135.53,Close,"November 1, 2019",1572638441031,3079033,134.09,120030382610,134.5,1572615000533,15.65,133.73,3412119,New York Stock Exchange,IBM,3079033,152.95,105.94,0.189834
5,8151342,close,1.57,0.00781,202.59,1572638400597,NVIDIA Corp.,202.59,1572638400317,-0.09,-0.00044,202.5,1572652654658,203.89,,,,,,,,,,False,1572638400317,202.59,Close,"November 1, 2019",1572638400597,6903438,198.593,123377310000,200.16,1572615000286,44.97,201.02,5243315,NASDAQ,NVDA,6903438,222,124.46,0.495037
6,1016506,close,4.79,0.03026,163.06,1572638534410,"VMware, Inc.",163.06,1572639000007,-0.06,-0.00037,163,1572649148475,163.1,,,,,,,,,,False,1572638399934,163.06,Close,"November 1, 2019",1572638534410,837986,158.6,66680451920,159.72,1572615000367,10.66,158.27,695884,New York Stock Exchange,VMW,837986,206.79,128.69,0.227822
7,6586350,close,-0.64,-0.00514,123.87,1572638495340,Procter & Gamble Co.,123.87,1572639000003,0.22,0.00178,124.09,1572651261972,125.138,,,,,,,,,,False,1572638399958,123.87,Close,"November 1, 2019",1572638495340,5985509,123.245,308908244700,124.96,1572615180668,76.94,124.51,6399499,New York Stock Exchange,PG,5985509,125.77,86.74,0.351893
8,2828286,close,-0.11,-0.0004,277.82,1572638400571,"Adobe, Inc.",277.82,1572638400204,0.68,0.00245,278.5,1572652752404,281.83,,,,,,,,,,False,1572638400204,277.82,Close,"November 1, 2019",1572638400571,2772129,277.267,134486827780,279.14,1572615000234,48.73,277.93,2845383,NASDAQ,ADBE,2772129,313.11,204.95,0.2367
9,18273980,close,-0.48,-0.0101,47.03,1572638400763,"Cisco Systems, Inc.",47.03,1572638400763,0.04,0.00085,47.07,1572652669281,47.485,,,,,,,,,,False,1572638400763,47.03,Close,"November 1, 2019",1572638400763,24345001,46.64,199587324900,46.8,1572615000888,17.88,47.51,12488292,NASDAQ,CSCO,24345001,58.26,40.25,0.084894
